transaction_id,customer_id,transaction_amount,transaction_hour,payment_method,customer_age,account_age_days,previous_orders,merchant_risk_score,device_risk_score,location_risk_score,risk_label
TXN0000001,CUST001,45.99,14,card,35,720,42,0.08,0.05,0.04,0
TXN0000002,CUST002,1200.00,1,crypto,22,8,0,0.82,0.91,0.88,1
TXN0000003,CUST003,89.50,10,card,45,1820,120,0.12,0.09,0.06,0
TXN0000004,CUST004,3500.00,2,bank_transfer,28,15,1,0.75,0.83,0.79,1
TXN0000005,CUST005,22.00,16,paypal,55,2100,350,0.05,0.03,0.07,0
TXN0000006,CUST006,750.00,23,crypto,19,3,0,0.90,0.87,0.92,1
TXN0000007,CUST007,130.00,11,card,42,900,88,0.15,0.11,0.08,0
TXN0000008,CUST008,2800.00,3,crypto,24,12,2,0.71,0.85,0.77,1
TXN0000009,CUST009,68.00,9,card,38,1500,65,0.10,0.07,0.05,0
TXN0000010,CUST010,450.00,22,bank_transfer,31,25,5,0.60,0.72,0.65,1
TXN0000011,CUST011,33.50,13,card,50,3000,210,0.06,0.04,0.03,0
TXN0000012,CUST012,980.00,1,crypto,26,7,0,0.85,0.89,0.84,1
TXN0000013,CUST013,55.00,15,paypal,44,800,55,0.09,0.08,0.06,0
TXN0000014,CUST014,1800.00,4,bank_transfer,23,18,1,0.78,0.80,0.76,1
TXN0000015,CUST015,120.00,12,card,36,600,30,0.14,0.10,0.09,0
TXN0000016,CUST016,200.00,18,card,40,1200,75,0.20,0.18,0.15,0
TXN0000017,CUST017,4200.00,2,crypto,21,5,0,0.92,0.95,0.91,1
TXN0000018,CUST018,78.00,10,card,52,2500,190,0.07,0.05,0.04,0
TXN0000019,CUST019,600.00,20,bank_transfer,29,45,8,0.55,0.62,0.58,1
TXN0000020,CUST020,95.00,14,card,48,1100,95,0.11,0.09,0.07,0
